Tag,Class,Text,Link
div,row mb-3,"Latest NewsPost Mission Disposal of GSAT-12Post Mission Disposal of GSAT-12ISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionOne-day visit of IFS Officer TraineesOne-day visit of IFS Officer TraineesSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesIndian Space Situational Assessment for the year 2022 – HighlightsIndian Space Situational Assessment for the year 2022 – HighlightsISRO successfully conducts the 
                        Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ISRO successfully conducts the 
                            Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ESA Delegation Visits ISRO CentresESA Delegation Visits ISRO CentresAustralia's India-focused International Space Investment grants programme is open nowAustralia's India-focused International Space Investment grants programme is open nowGlobal false colour composite mosaic generated from EOS-06 dataGlobal false colour composite mosaic generated from EOS-06 data4th Indian Planetary Science Conference held at PRL, Ahmedabad4thIndian Planetary Science Conference held at PRL, AhmedabadLVM3 M3/OneWeb India-2 mission accomplished successfullyLVM3 M3/OneWeb India-2 mission accomplished successfullyISRO receives the crew module structure simulated assemblyISRO receives the crew module structure simulated assemblyFrench Parliamentarians visit ISROFrench Parliamentarians visit ISROChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedInauguration of India – Bhutan SAT ground stationInauguration of India – Bhutan SAT ground stationCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesControlled Re-entry Experiment of Megha-Tropiques-1Controlled Re-entry Experiment of Megha-Tropiques-1SARAL completes a decade of service and continuing ……SARAL completes a decade of service and continuing ……Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023A Comprehensive 3D Thermophysical Model for the MoonA Comprehensive 3D Thermophysical Model for the MoonSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionHanding over of Simulated Crew Module Structure Assembly for Test Vehicle
                            MissionHanding over of Simulated Crew Module Structure
                                Assembly for Test Vehicle MissionAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeChandrayaan-3 undergoes EMI/EMC test successfullyChandrayaan-3 undergoes EMI/EMC test successfullyChief of Defence Staff visit to ISRO HqChief of Defence Staff visit to ISRO Hq.ISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSISRO participation at India Pavilion, AeroIndia-2023ISRO participation at India Pavilion, AeroIndia-2023Commencement of Recovery trials for the Gaganyaan MissionCommencement of Recovery trials for the Gaganyaan MissionSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSSLV-D2/EOS-07 MissionSecond Developmental Flight of SSLVIIA hands over VELC payload to ISROIIA hands over VELC payload
                      to ISRORozgar Mela: 330+ Appointment Orders issued till December 2022Rozgar Mela:
                      330+ Appointment Orders issued till December 2022Ambassador of Costa Rica to India met Chairman, ISRO/ Secretary, DOSAmbassador of Costa Rica to India met
                      Chairman, ISRO/ Secretary, DOSMeeting of Space Agency Chiefs of India and MexicoMeeting of Space Agency Chiefs
                      of India and MexicoSuccessful CE-20 Engine Hot TestSuccessful CE-20 Engine Hot Test with 20t off-nominal & 22.2t vacuum
                      thrustCompletion of third batch of UNNATI programme at URSC, ISROCompletion of third batch of UNNATI
                      programme at URSC, ISROFirst blow down test of Trisonic Wind Tunnel at VSSCFirst blow down test of Trisonic Wind
                      Tunnel at VSSCEOS-06 images Cyclone Mandous and detects Algal BloomEOS-06 images Cyclone
                      Mandous and detects Algal BloomRocket motor Produced by Industry Successfully testedRocket motor Produced by Industry
                      Successfully testedISRO and Social Alpha join hands to establish SpaceTech Innovation Platform- SpINISRO and Social Alpha join hands to
                      establish SpaceTech Innovation Platform- SpIN: Focussed on Lab to Market Transition and Venture
                      Development in Space IndustryAmbassador of Czech Republic to India met Chairman, ISRO/ Secretary, DOSAmbassador of Czech Republic to
                      India met Chairman, ISRO/ Secretary, DOSMeeting of Chairman, ISRO/Secretary DOS and Bhutan MinisterMeeting of Chairman,
                      ISRO/Secretary DOS and Bhutan MinisterFirst private launchpad & mission control center established in ISRO campus at SDSC, SHARFirst private launchpad &
                      mission control center established in ISRO campus at SDSC, SHARHonourable former President Shri Ram Nath Kovind witnesses the 200th successive successful launch of
                    RH200 - the workhorse sounding rocket of ISROHonourable former President Shri
                      Ram Nath Kovind witnesses the 200thsuccessive successful launch of RH200 - the
                      workhorse sounding rocket of ISROISRO Completes Major Development Test of its Gaganyaan Parachute SystemISRO Completes Major
                      Development Test of its Gaganyaan Parachute SystemSuccessful Launch of Mission PrarambhVIKRAM-S PRARAMBH Skyroot Mission Launch
                      successfully completedChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceISRO delivered Flight Termination System (FTS) packages to AgnikulISRO delivered Flight Termination
                      System (FTS) packages to AgnikulSuccessful CE20 uprated Engine Hot Test with 21.8 T vacuum thrustSuccessful CE20 uprated
                      Engine Hot Test with 21.8 T vacuum thrustISRO facilitates the hot testing of an engine developed by an Indian space startup.ISRO facilitates the hot testing of an
                      engine developed by an Indian space startupAtmospheric Re-entry of RISAT-2Atmospheric Re-entry of
                      RISAT-2CE20 Cryogenic Engine for the next mission of LVM3 tested for acceptanceCE20 Cryogenic Engine for the next
                      mission of LVM3 tested for acceptanceLVM3 M2 / OneWeb India-1 Mission successfulLVM3 M2 / OneWeb India-1 Mission is
                      completed successfully.Dr. Sankarasubramanian K., ISRO, has been designated as the Principal Scientist of the Aditya-L1
                    mission.Dr. Sankarasubramanian K.,
                      ISRO, has been designated as the Principal Scientist of the Aditya-L1 mission.Two days conference on ""Celebrating Seven Years of AstroSat""Two days conference on
                      ""Celebrating Seven Years of AstroSat""X-rays from the Moon reveal a new lunar map in sodiumX-rays from the Moon reveal a new lunar map in
                      sodiumUpdate on the Mars Orbiter Mission (MOM) and the National Meet organised on 27 September,2022Update on the Mars Orbiter Mission
                      (MOM) and the National Meet organised on 27 September,2022ISRO Scientist elected as the Vice President of International Astronautical Federation (IAF)ISRO Scientist elected
                      as the Vice President of International Astronautical Federation (IAF)Inauguration of Integrated Cryogenic engine Manufacturing Facility (ICMF)Inauguration of Integrated Cryogenic engine
                      Manufacturing Facility (ICMF)ISRO develops microprocessor-controlled smart limbsISRO develops
                      microprocessor-controlled smart limbsHighlightsPreviousNext",
div,col-md-6 themed-grid-col,"Latest NewsPost Mission Disposal of GSAT-12Post Mission Disposal of GSAT-12ISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionOne-day visit of IFS Officer TraineesOne-day visit of IFS Officer TraineesSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesIndian Space Situational Assessment for the year 2022 – HighlightsIndian Space Situational Assessment for the year 2022 – HighlightsISRO successfully conducts the 
                        Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ISRO successfully conducts the 
                            Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ESA Delegation Visits ISRO CentresESA Delegation Visits ISRO CentresAustralia's India-focused International Space Investment grants programme is open nowAustralia's India-focused International Space Investment grants programme is open nowGlobal false colour composite mosaic generated from EOS-06 dataGlobal false colour composite mosaic generated from EOS-06 data4th Indian Planetary Science Conference held at PRL, Ahmedabad4thIndian Planetary Science Conference held at PRL, AhmedabadLVM3 M3/OneWeb India-2 mission accomplished successfullyLVM3 M3/OneWeb India-2 mission accomplished successfullyISRO receives the crew module structure simulated assemblyISRO receives the crew module structure simulated assemblyFrench Parliamentarians visit ISROFrench Parliamentarians visit ISROChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedInauguration of India – Bhutan SAT ground stationInauguration of India – Bhutan SAT ground stationCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesControlled Re-entry Experiment of Megha-Tropiques-1Controlled Re-entry Experiment of Megha-Tropiques-1SARAL completes a decade of service and continuing ……SARAL completes a decade of service and continuing ……Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023A Comprehensive 3D Thermophysical Model for the MoonA Comprehensive 3D Thermophysical Model for the MoonSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionHanding over of Simulated Crew Module Structure Assembly for Test Vehicle
                            MissionHanding over of Simulated Crew Module Structure
                                Assembly for Test Vehicle MissionAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeChandrayaan-3 undergoes EMI/EMC test successfullyChandrayaan-3 undergoes EMI/EMC test successfullyChief of Defence Staff visit to ISRO HqChief of Defence Staff visit to ISRO Hq.ISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSISRO participation at India Pavilion, AeroIndia-2023ISRO participation at India Pavilion, AeroIndia-2023Commencement of Recovery trials for the Gaganyaan MissionCommencement of Recovery trials for the Gaganyaan MissionSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSSLV-D2/EOS-07 MissionSecond Developmental Flight of SSLVIIA hands over VELC payload to ISROIIA hands over VELC payload
                      to ISRORozgar Mela: 330+ Appointment Orders issued till December 2022Rozgar Mela:
                      330+ Appointment Orders issued till December 2022Ambassador of Costa Rica to India met Chairman, ISRO/ Secretary, DOSAmbassador of Costa Rica to India met
                      Chairman, ISRO/ Secretary, DOSMeeting of Space Agency Chiefs of India and MexicoMeeting of Space Agency Chiefs
                      of India and MexicoSuccessful CE-20 Engine Hot TestSuccessful CE-20 Engine Hot Test with 20t off-nominal & 22.2t vacuum
                      thrustCompletion of third batch of UNNATI programme at URSC, ISROCompletion of third batch of UNNATI
                      programme at URSC, ISROFirst blow down test of Trisonic Wind Tunnel at VSSCFirst blow down test of Trisonic Wind
                      Tunnel at VSSCEOS-06 images Cyclone Mandous and detects Algal BloomEOS-06 images Cyclone
                      Mandous and detects Algal BloomRocket motor Produced by Industry Successfully testedRocket motor Produced by Industry
                      Successfully testedISRO and Social Alpha join hands to establish SpaceTech Innovation Platform- SpINISRO and Social Alpha join hands to
                      establish SpaceTech Innovation Platform- SpIN: Focussed on Lab to Market Transition and Venture
                      Development in Space IndustryAmbassador of Czech Republic to India met Chairman, ISRO/ Secretary, DOSAmbassador of Czech Republic to
                      India met Chairman, ISRO/ Secretary, DOSMeeting of Chairman, ISRO/Secretary DOS and Bhutan MinisterMeeting of Chairman,
                      ISRO/Secretary DOS and Bhutan MinisterFirst private launchpad & mission control center established in ISRO campus at SDSC, SHARFirst private launchpad &
                      mission control center established in ISRO campus at SDSC, SHARHonourable former President Shri Ram Nath Kovind witnesses the 200th successive successful launch of
                    RH200 - the workhorse sounding rocket of ISROHonourable former President Shri
                      Ram Nath Kovind witnesses the 200thsuccessive successful launch of RH200 - the
                      workhorse sounding rocket of ISROISRO Completes Major Development Test of its Gaganyaan Parachute SystemISRO Completes Major
                      Development Test of its Gaganyaan Parachute SystemSuccessful Launch of Mission PrarambhVIKRAM-S PRARAMBH Skyroot Mission Launch
                      successfully completedChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceISRO delivered Flight Termination System (FTS) packages to AgnikulISRO delivered Flight Termination
                      System (FTS) packages to AgnikulSuccessful CE20 uprated Engine Hot Test with 21.8 T vacuum thrustSuccessful CE20 uprated
                      Engine Hot Test with 21.8 T vacuum thrustISRO facilitates the hot testing of an engine developed by an Indian space startup.ISRO facilitates the hot testing of an
                      engine developed by an Indian space startupAtmospheric Re-entry of RISAT-2Atmospheric Re-entry of
                      RISAT-2CE20 Cryogenic Engine for the next mission of LVM3 tested for acceptanceCE20 Cryogenic Engine for the next
                      mission of LVM3 tested for acceptanceLVM3 M2 / OneWeb India-1 Mission successfulLVM3 M2 / OneWeb India-1 Mission is
                      completed successfully.Dr. Sankarasubramanian K., ISRO, has been designated as the Principal Scientist of the Aditya-L1
                    mission.Dr. Sankarasubramanian K.,
                      ISRO, has been designated as the Principal Scientist of the Aditya-L1 mission.Two days conference on ""Celebrating Seven Years of AstroSat""Two days conference on
                      ""Celebrating Seven Years of AstroSat""X-rays from the Moon reveal a new lunar map in sodiumX-rays from the Moon reveal a new lunar map in
                      sodiumUpdate on the Mars Orbiter Mission (MOM) and the National Meet organised on 27 September,2022Update on the Mars Orbiter Mission
                      (MOM) and the National Meet organised on 27 September,2022ISRO Scientist elected as the Vice President of International Astronautical Federation (IAF)ISRO Scientist elected
                      as the Vice President of International Astronautical Federation (IAF)Inauguration of Integrated Cryogenic engine Manufacturing Facility (ICMF)Inauguration of Integrated Cryogenic engine
                      Manufacturing Facility (ICMF)ISRO develops microprocessor-controlled smart limbsISRO develops
                      microprocessor-controlled smart limbs",
div,section-title mb-2,Latest News,
div,accordion,"Post Mission Disposal of GSAT-12Post Mission Disposal of GSAT-12ISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionOne-day visit of IFS Officer TraineesOne-day visit of IFS Officer TraineesSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesChandrayaan-3 Data Analysis Workshop for National Academia and InstitutesIndian Space Situational Assessment for the year 2022 – HighlightsIndian Space Situational Assessment for the year 2022 – HighlightsISRO successfully conducts the 
                        Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ISRO successfully conducts the 
                            Reusable Launch Vehicle Autonomous Landing Mission (RLV LEX)ESA Delegation Visits ISRO CentresESA Delegation Visits ISRO CentresAustralia's India-focused International Space Investment grants programme is open nowAustralia's India-focused International Space Investment grants programme is open nowGlobal false colour composite mosaic generated from EOS-06 dataGlobal false colour composite mosaic generated from EOS-06 data4th Indian Planetary Science Conference held at PRL, Ahmedabad4thIndian Planetary Science Conference held at PRL, AhmedabadLVM3 M3/OneWeb India-2 mission accomplished successfullyLVM3 M3/OneWeb India-2 mission accomplished successfullyISRO receives the crew module structure simulated assemblyISRO receives the crew module structure simulated assemblyFrench Parliamentarians visit ISROFrench Parliamentarians visit ISROChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsChandrayaan-3 successfully undergoes Integrated Module Dynamic TestsYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedYUva VIgyani KAryakram (Young Scientist Programme) - 2023 is announcedInauguration of India – Bhutan SAT ground stationInauguration of India – Bhutan SAT ground stationCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSCEO, Saudi Space Commission met Chairman ISRO/ Secretary DOSNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateNISAR (NASA – ISRO Synthetic Aperture Radar) Satellite UpdateMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanMegha-Tropiques-1 (MT1) Controlled Re-entry Successful and impacted on the Pacific OceanISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesISRO conducts Rail Track Rocket Sled deployment tests of the Gaganyaan Pilot and Apex Cover Separation parachutesControlled Re-entry Experiment of Megha-Tropiques-1Controlled Re-entry Experiment of Megha-Tropiques-1SARAL completes a decade of service and continuing ……SARAL completes a decade of service and continuing ……Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023Inauguration of Two-day National Conference on New Developments in Polymeric Materials, DPM 2023A Comprehensive 3D Thermophysical Model for the MoonA Comprehensive 3D Thermophysical Model for the MoonSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionSuccessful Flight Acceptance Hot Test of CE-20 Cryogenic Engine for LVM3-M4/Chandrayaan-3 MissionHanding over of Simulated Crew Module Structure Assembly for Test Vehicle
                            MissionHanding over of Simulated Crew Module Structure
                                Assembly for Test Vehicle MissionAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAmbassador of Argentina to India met Chairman, ISRO/ Secretary, DOSAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeAnnouncement of Opportunity (AO Cycle 13) soliciting proposals for AstroSat observatory timeChandrayaan-3 undergoes EMI/EMC test successfullyChandrayaan-3 undergoes EMI/EMC test successfullyChief of Defence Staff visit to ISRO HqChief of Defence Staff visit to ISRO Hq.ISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryISRO Quality Practices Paving the way to Reduced Mortality Rates in Hospitals Across the CountryGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsGroup of lunar meteorites suggest a new scenario for the origin of lunar basaltsUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSUS CDA Ambassador met Chairman, ISRO/ Secretary, DOSISRO participation at India Pavilion, AeroIndia-2023ISRO participation at India Pavilion, AeroIndia-2023Commencement of Recovery trials for the Gaganyaan MissionCommencement of Recovery trials for the Gaganyaan MissionSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSuccessful test of Throttleable Vikas Engine for 67% Thrust levelSSLV-D2/EOS-07 MissionSecond Developmental Flight of SSLVIIA hands over VELC payload to ISROIIA hands over VELC payload
                      to ISRORozgar Mela: 330+ Appointment Orders issued till December 2022Rozgar Mela:
                      330+ Appointment Orders issued till December 2022Ambassador of Costa Rica to India met Chairman, ISRO/ Secretary, DOSAmbassador of Costa Rica to India met
                      Chairman, ISRO/ Secretary, DOSMeeting of Space Agency Chiefs of India and MexicoMeeting of Space Agency Chiefs
                      of India and MexicoSuccessful CE-20 Engine Hot TestSuccessful CE-20 Engine Hot Test with 20t off-nominal & 22.2t vacuum
                      thrustCompletion of third batch of UNNATI programme at URSC, ISROCompletion of third batch of UNNATI
                      programme at URSC, ISROFirst blow down test of Trisonic Wind Tunnel at VSSCFirst blow down test of Trisonic Wind
                      Tunnel at VSSCEOS-06 images Cyclone Mandous and detects Algal BloomEOS-06 images Cyclone
                      Mandous and detects Algal BloomRocket motor Produced by Industry Successfully testedRocket motor Produced by Industry
                      Successfully testedISRO and Social Alpha join hands to establish SpaceTech Innovation Platform- SpINISRO and Social Alpha join hands to
                      establish SpaceTech Innovation Platform- SpIN: Focussed on Lab to Market Transition and Venture
                      Development in Space IndustryAmbassador of Czech Republic to India met Chairman, ISRO/ Secretary, DOSAmbassador of Czech Republic to
                      India met Chairman, ISRO/ Secretary, DOSMeeting of Chairman, ISRO/Secretary DOS and Bhutan MinisterMeeting of Chairman,
                      ISRO/Secretary DOS and Bhutan MinisterFirst private launchpad & mission control center established in ISRO campus at SDSC, SHARFirst private launchpad &
                      mission control center established in ISRO campus at SDSC, SHARHonourable former President Shri Ram Nath Kovind witnesses the 200th successive successful launch of
                    RH200 - the workhorse sounding rocket of ISROHonourable former President Shri
                      Ram Nath Kovind witnesses the 200thsuccessive successful launch of RH200 - the
                      workhorse sounding rocket of ISROISRO Completes Major Development Test of its Gaganyaan Parachute SystemISRO Completes Major
                      Development Test of its Gaganyaan Parachute SystemSuccessful Launch of Mission PrarambhVIKRAM-S PRARAMBH Skyroot Mission Launch
                      successfully completedChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceChairman, ISRO inaugurated the new office of M/s Bellatrix AerospaceISRO delivered Flight Termination System (FTS) packages to AgnikulISRO delivered Flight Termination
                      System (FTS) packages to AgnikulSuccessful CE20 uprated Engine Hot Test with 21.8 T vacuum thrustSuccessful CE20 uprated
                      Engine Hot Test with 21.8 T vacuum thrustISRO facilitates the hot testing of an engine developed by an Indian space startup.ISRO facilitates the hot testing of an
                      engine developed by an Indian space startupAtmospheric Re-entry of RISAT-2Atmospheric Re-entry of
                      RISAT-2CE20 Cryogenic Engine for the next mission of LVM3 tested for acceptanceCE20 Cryogenic Engine for the next
                      mission of LVM3 tested for acceptanceLVM3 M2 / OneWeb India-1 Mission successfulLVM3 M2 / OneWeb India-1 Mission is
                      completed successfully.Dr. Sankarasubramanian K., ISRO, has been designated as the Principal Scientist of the Aditya-L1
                    mission.Dr. Sankarasubramanian K.,
                      ISRO, has been designated as the Principal Scientist of the Aditya-L1 mission.Two days conference on ""Celebrating Seven Years of AstroSat""Two days conference on
                      ""Celebrating Seven Years of AstroSat""X-rays from the Moon reveal a new lunar map in sodiumX-rays from the Moon reveal a new lunar map in
                      sodiumUpdate on the Mars Orbiter Mission (MOM) and the National Meet organised on 27 September,2022Update on the Mars Orbiter Mission
                      (MOM) and the National Meet organised on 27 September,2022ISRO Scientist elected as the Vice President of International Astronautical Federation (IAF)ISRO Scientist elected
                      as the Vice President of International Astronautical Federation (IAF)Inauguration of Integrated Cryogenic engine Manufacturing Facility (ICMF)Inauguration of Integrated Cryogenic engine
                      Manufacturing Facility (ICMF)ISRO develops microprocessor-controlled smart limbsISRO develops
                      microprocessor-controlled smart limbs",
div,accordion-item,Post Mission Disposal of GSAT-12Post Mission Disposal of GSAT-12,
h4,accordion-header,Post Mission Disposal of GSAT-12,
button,accordion-button,Post Mission Disposal of GSAT-12,
span,open-blink,,
div,accordion-collapse collapse show,Post Mission Disposal of GSAT-12,
div,accordion-body,Post Mission Disposal of GSAT-12,
div,accordion-item,ISRO and MVA collaborate for the outreach of the Chandrayaan-3 MissionISRO and MVA collaborate for the outreach of the Chandrayaan-3 Mission,
h4,accordion-header,ISRO and MVA collaborate for the outreach of the Chandrayaan-3 Mission,
button,accordion-button,ISRO and MVA collaborate for the outreach of the Chandrayaan-3 Mission,
span,open-blink,,
div,accordion-collapse collapse,ISRO and MVA collaborate for the outreach of the Chandrayaan-3 Mission,
div,accordion-body,ISRO and MVA collaborate for the outreach of the Chandrayaan-3 Mission,
div,accordion-item,One-day visit of IFS Officer TraineesOne-day visit of IFS Officer Trainees,
h4,accordion-header,One-day visit of IFS Officer Trainees,
button,accordion-button,One-day visit of IFS Officer Trainees,
span,open-blink,,
div,accordion-collapse collapse,One-day visit of IFS Officer Trainees,
div,accordion-body,One-day visit of IFS Officer Trainees,
div,accordion-item,Successful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan ProgrammeSuccessful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan Programme,
h4,accordion-header,Successful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan Programme,
button,accordion-button,Successful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan Programme,
span,open-blink,,
div,accordion-collapse collapse,Successful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan Programme,
div,accordion-body,Successful completion of System Demonstration Model (SDM) tests for Crew Module Propulsion System for the Gaganyaan Programme,
div,accordion-item,Successful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programmeSuccessful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programme,
h4,accordion-header,Successful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programme,
button,accordion-button,Successful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programme,
span,open-blink,,
div,accordion-collapse collapse,Successful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programme,
div,accordion-body,Successful completion of human rated Vikas engine test campaign for the L110 stage of Gaganyaan programme,
div,accordion-item,Chandrayaan-3 Data Analysis Workshop for National Academia and InstitutesChandrayaan-3 Data Analysis Workshop for National Academia and Institutes,
h4,accordion-header,Chandrayaan-3 Data Analysis Workshop for National Academia and Institutes,
button,accordion-button,Chandrayaan-3 Data Analysis Workshop for National Academia and Institutes,
span,open-blink,,
div,accordion-collapse collapse,Chandrayaan-3 Data Analysis Workshop for National Academia and Institutes,
div,accordion-body,Chandrayaan-3 Data Analysis Workshop for National Academia and Institutes,
div,accordion-item,Indian Space Situational Assessment for the year 2022 – HighlightsIndian Space Situational Assessment for the year 2022 – Highlights,
